Year,CO,SO2,NO2,O3,PM10,PM2.5,88502
1967,,10.0,,,,,
1968,,4.631372549019607,,,,,
1969,,5.2125,,,,,
1970,,3.014583333333333,,,,,
1971,0.6311002142857143,5.38415248,23.762077400000003,,,,
1972,0.8489578218527316,11.275591809796769,20.410758315018317,0.013159459249676585,,,
1973,0.19532573469387757,5.189727538304093,26.1982814017094,0.01592254556427278,,,
1974,2.0666969615384616,5.012833318970405,17.98373205741627,0.01914596452062986,,,
1975,1.5082671153846154,3.9654564398215397,15.704368174726989,0.020053152637021714,,,
1976,,4.771562678618163,17.120761088262054,0.024967745578231292,,,
1977,,5.092412248390612,16.44300061943024,0.028162650063394315,,,
1978,2.222046213114754,6.510722700412088,16.77700392302106,0.029224460768175583,,,
1979,1.2590492592592593,6.079430249625062,14.19680611594203,0.0237181031635264,,,
1980,0.8330819267605634,6.71861909836928,15.349235669796558,0.025528023600055856,,,
1981,0.9334822624434389,6.428578192273136,17.617276837016576,0.026505029484231273,,,
1982,0.6925681848920863,6.06104525883295,15.097524204134366,0.021849818818904368,,,
1983,0.8370423819494586,5.560169364548153,20.17474675189599,0.02023196902418555,,,
1984,0.830653597260274,5.173844726631223,22.570838595614482,0.021427723023775654,,,
1985,1.0229400592286502,6.388188065349388,19.93169587434555,0.024223433631459398,39.5735294117647,,
1986,0.8590167830985916,6.272822320794264,19.87598337968561,0.024730710535804428,34.579819277108435,,
1987,0.91169980521262,6.0909378207934335,20.846142368567453,0.027265136827480475,33.84873949579832,,
1988,1.066353057558946,5.74845866354764,19.539322133053222,0.02854025473939168,30.532763532763532,,
1989,0.8847078496453901,5.880728206969875,17.27194142141864,0.02456161413591892,28.62361111111111,,
1990,0.5749631089521166,5.919051379185301,16.750687296934867,0.028260686066032457,27.910430839002267,,
1991,0.6462628081717451,6.799617973053594,17.12217083348666,0.024879880318497347,26.19001751313485,,
1992,0.5885372881969587,6.599798785514567,9.762531384710744,0.02619758337256379,26.4502784407319,,
1993,0.4384110792767733,5.988212354352533,9.825146457528447,0.025892588211615872,25.07200587803086,,
1994,0.413051270790378,5.065405125647668,10.305833915485126,0.024987181028875254,23.979305513642892,,
1995,0.5173172444674965,4.129960009190372,10.092808512330285,0.028253292443136055,23.691965855731222,,
1996,0.5030816511782277,4.438559808428446,10.452687852441327,0.02675410459099746,21.577317753920386,,
1997,0.38550239299749905,3.8553517722667796,9.961215526785713,0.028538292800600915,23.421176704810495,,
1998,0.39804849326521136,4.210043731933791,9.628341098901098,0.028215206486814186,24.900734537915987,,
1999,0.48905113808870593,3.8894304448350914,10.00674864002011,0.03045168158234112,24.548706230385164,15.800236616385684,13.827115466666667
2000,0.5423283050379571,2.7947635126560026,9.564485536031041,0.031227739796495197,23.9455450900277,14.380009191176471,11.732840267354597
2001,0.631663594253679,2.4423677539653266,9.238810442178771,0.027376239081762024,22.54477410808876,12.650254481079886,10.79709520935221
2002,0.529080998273878,2.533663931846904,8.686936803954802,0.026365161111403187,21.03434660700876,11.53280640970117,11.028051897022333
2003,0.48621950798557445,2.349636726473948,8.986662460784315,0.027297171844226777,21.67819879605263,12.373496610540126,11.983894053531039
2004,0.46225418625429554,2.584487816893926,8.409648807651992,0.027873776801311513,22.917183680529302,11.90659155236229,11.759206684958619
2005,0.3938301675824176,3.0258738154618685,9.035808364419665,0.029917098620669283,24.014108341511285,13.33125,13.093394985375694
2006,0.3439750780821918,3.1553292119366625,8.731163293813099,0.030267575553200372,23.47561059181416,12.645517077798862,12.243280934647302
2007,0.38136930898876403,3.02299519257087,8.513081991788555,0.02777062073836881,26.0639838338558,11.988151189127974,11.906625293003893
2008,0.28335717475728156,2.5468628439796492,7.721856798155738,0.026679698903384383,23.19441878046103,10.85945711810569,10.926968723776223
2009,0.22160645616438357,1.9515995143951212,7.302009431829329,0.026508180935542837,21.102480508771933,9.750191508167083,10.063893269104355
2010,0.24651906505102042,2.2787381143592853,6.943438692446507,0.02852692007356488,23.007426907116603,10.914213176987973,11.233785176755147
2011,0.23208123868312755,1.768823927240905,6.862486710265924,0.028730226133519218,23.649836982233502,10.724998643710409,11.190694565647483
2012,0.21751443882244711,1.4823599040657198,6.78948538066561,0.027942647940982928,21.581754354561102,9.683750165935919,10.44192840733885
2013,0.21219396903460838,1.1536040494899367,6.557380594652735,0.025828474253555302,21.769148282184656,8.649774369158168,10.092522786488631
2014,0.24483482,1.2379830070043776,6.521325703081232,0.02575763146887967,21.653158543258673,8.800602796364192,10.166458783435072
2015,0.27458762886597937,1.1222997041671883,5.793217283682634,0.025557814236169568,22.83895586505867,8.981098869914852,9.780045695233799
2016,0.22351090275862068,0.9826696401898082,6.080092734404184,0.026541946509761966,20.585493345583494,8.748729838940786,8.676690739932885
2017,0.23717003719298246,0.8768433645192907,5.702895843386243,0.0259488906331935,19.42047855013021,8.533715607547299,8.504556326538989
2018,0.17220583637807785,0.7447600206643793,5.390784906312827,0.025634115752062342,21.407671209073904,8.438864377864633,7.903437503818509
2019,0.16288090273972602,0.6699999596346033,5.201491701911346,0.025960847836766776,17.13948611761882,8.410858426829625,8.308725456831734
2020,0.16141946398891968,0.6395788031164783,4.214094933717579,0.02477976775670373,18.156532358685446,8.489839856547874,7.917911216695255
2021,0.18039186791147993,0.46844116904863475,4.462656874595469,0.02525546371467728,16.996425257195913,8.315250367216924,8.594241330054645
